X,CMK,HEL,HL.60,K052,KASUMI.1,KG.1,KMOE.2,ME.1,ML.2,MOLM.13,MONO.MAC.6,MV.4.11,NOMO.1,OCI.AML3,OCI.AML5,OCI.M1,P31.FUJ,PL.21,SIG.M5,SKM.1,THP.1,AML.193,GDM.1,M.07e,NB4,OCI.AML2,COLO.680N,KYSE.140,KYSE.150,KYSE.520,KYSE.70,OE19,OE33,KYSE.410,KYSE.450,KYSE.510,HEP.3B,HEP.G2,JHH.2,PLC.PRF.5,SK.HEP.1,SNU.387,SNU.423,SNU.449,SNU.475,JHH.4,SNU.182,SNU.398
LY317615,0.222227987,0.283635933,3.33E-02,6.88E-02,0.541733769,5.89E-02,0.347586139,1.29E-02,0.338146389,0.513923782,0.32230437,0.710585048,0.121120901,0.218826392,0.120656333,0.435037934,5.69E-02,0.26132456,0.26771855,NA,0.525228877,NA,0.273863443,NA,0.410668192,6.87E-02,0.545645198,0.364618433,0.141910081,0.76934739,0.197364404,6.44E-02,0.114131,0.235549073,0.470344511,0.138076,0,NA,5.09E-03,1.25E-02,6.68E-03,0.369303274,0.496728282,0.340491239,0.873064608,9.61E-02,0.171105151,7.25E-03
manumycin A,0.149019557,0.185447436,0.137879695,0.226900286,0.16554384,NA,NA,0.235826432,NA,NA,0.209125144,0.269543727,0.11759898,0.282063129,9.24E-02,0.195793334,0.281373072,0.214403141,0.200208282,0.254741178,0.235640865,0.272904575,0.139182385,0.251058929,9.27E-02,8.67E-02,9.29E-02,2.30E-02,0.23958475,0.121133362,4.66E-03,1.17E-02,4.73E-02,0.112321418,2.47E-02,7.49E-02,5.52E-02,0,0.206902949,8.07E-02,1.61E-02,4.70E-02,7.56E-02,6.43E-02,5.29E-02,6.03E-03,0.177328457,NA
marinopyrrole A,0.374988381,NA,NA,NA,0.350240482,NA,NA,0.203830632,NA,NA,0.347567125,NA,0.321975528,0.287262949,0.260985218,NA,NA,0.300624004,NA,0.262703416,0.303131292,0.373104519,0.331135036,0.429435479,0.31714579,0.284426873,NA,NA,0.182271831,0.317765477,0.22716403,0.218345206,0.181763,0.302733671,0.191592711,0.189287,NA,0.30129293,0.277894977,0.400076007,0.272776582,0.280520675,0.370029557,0.28635388,0.287165916,0.42066622,NA,0.316132191
Mdivi-1,9.58E-02,0.132201685,3.57E-02,0.190783519,3.47E-02,NA,NA,6.84E-02,NA,8.62E-02,0.314592996,9.93E-02,NA,4.44E-02,2.38E-02,6.30E-02,9.39E-02,9.38E-02,3.42E-02,0.190291194,0.135944813,0.163938541,0.122956436,0.146674557,0.303458359,NA,6.97E-02,0.232043997,7.36E-02,9.86E-03,0.114723726,0.133647215,1.32E-02,0.110901122,1.95E-02,7.61E-02,6.12E-02,4.89E-02,2.26E-02,6.16E-02,2.72E-02,2.20E-02,3.42E-02,0.159687729,1.63E-02,8.82E-02,0.189627603,7.35E-02
Merck60,0.379612276,0.419576019,0.314101889,0.217543377,0.490235316,NA,NA,0.141768977,NA,0.379525898,0.244387473,0.390921037,0.349733552,0.460283224,0.335508458,0.374542806,0.360163106,0.264470054,0.251130543,0.420258796,0.369381905,0.261889119,0.121358688,0.468973218,0.333508968,0.316185765,0.10127704,0.166411288,3.55E-02,0.217568991,0.142326401,0.232767766,0.181316,0.125141761,0.146463067,3.96E-02,9.63E-02,0.266233941,0.110179887,9.66E-02,0.120700203,0.123064694,0.196093302,0.152124718,8.14E-02,0.269313879,0.216906703,0.133268389
methylstat,0.195157988,NA,0.226471352,0.229480845,0.20172678,NA,NA,0.214375459,NA,NA,0.370185311,NA,0.247032004,0.23093692,0.120081862,0.184782013,NA,0.233426884,0.175835897,0.215390915,0.272334452,0.260661298,0.279194842,0.256584682,0.247835823,0.243388048,NA,NA,0.108783749,6.15E-02,8.26E-02,0.108942423,0.168649,0.121787772,5.48E-02,4.52E-02,NA,0.137602457,0.254513001,0.23648227,6.20E-02,0.112427025,0.171734938,0.144316743,NA,0.279533533,NA,0.299178889
MG-132,0.286850109,0.34901527,0.15488441,0.247354903,9.96E-02,0.217406856,0.156826951,7.47E-02,0.392213641,0.202190337,0.154328539,0.150221364,5.63E-02,0.244644076,8.35E-02,0.333980521,4.44E-03,5.60E-02,0.177805911,5.85E-02,9.58E-03,NA,0.205053297,NA,0.207915824,0.253490381,NA,NA,NA,0.334735333,NA,0.267217703,0.197787,NA,0.22649065,NA,NA,NA,0.238628278,0.226150676,0.257094392,0.229186514,0.270238796,0.184558854,0.258183916,0.293836101,NA,NA
MGCD-265,9.97E-02,2.08E-02,4.19E-02,0.16636515,0.287375581,NA,NA,0.107563894,NA,0.659227931,0.468019446,0.708950592,0.154732533,0.20635705,0.171515475,0.151042321,0.198024919,0.189950431,8.03E-02,0.175205229,8.98E-02,0.14627976,0.225760518,0.162723725,0.141263503,0.135063624,0.113837568,0.279912846,6.30E-02,0.128835573,5.58E-02,3.87E-02,0.192403,0.171029403,6.86E-02,6.36E-02,0.153218277,0.200755143,0.148811672,8.59E-02,7.82E-02,7.26E-02,9.29E-02,8.17E-02,6.32E-02,0.131777867,0.195693538,6.00E-02
MI-1,9.85E-03,0,7.36E-03,2.00E-02,3.40E-02,NA,NA,0,NA,2.40E-02,NA,0,7.42E-02,8.90E-03,NA,4.17E-02,0,2.51E-02,4.43E-02,1.62E-03,4.16E-02,NA,2.29E-02,NA,6.16E-03,2.12E-02,2.37E-02,0.114905368,NA,4.44E-02,9.24E-04,2.76E-02,2.07E-02,2.18E-02,1.13E-02,NA,2.63E-04,0,5.82E-03,0,4.65E-02,5.21E-02,6.84E-02,6.78E-03,8.28E-03,2.18E-02,8.00E-02,5.18E-02
MI-2,3.06E-02,NA,2.68E-02,8.20E-02,5.19E-02,NA,NA,NA,NA,NA,NA,NA,NA,0.124215341,4.78E-02,2.66E-02,NA,NA,3.04E-02,NA,NA,3.70E-02,NA,2.11E-02,NA,NA,NA,NA,4.36E-02,1.80E-02,NA,6.65E-03,8.88E-02,NA,1.04E-02,3.52E-02,NA,NA,8.58E-02,0.133170614,6.76E-03,4.94E-02,6.77E-02,7.17E-02,0.164295477,3.08E-02,NA,NA
Mitomycin-C,0.748180382,0.73374507,0.61640296,0.664639922,0.322406032,0.663708412,0.463379045,0.248524434,0.917618075,0.656856916,0.627880728,0.872776756,0.525512516,0.639211428,0.658178517,0.431929822,0.399128103,0.318771687,0.685105843,0.338328722,0.362853545,0.386492669,0.474349118,0.430022858,0.692361605,0.739014094,0.667984954,0.460664781,0.608346156,0.47563914,0.422437239,0.566762284,0.4696605,0.411385949,0.406774289,0.6973185,0.492236141,0.120446564,0.145465451,0.240790044,0.462542011,0.276431307,0.381562598,0.235369202,0.741652503,0.48058544,0.56558077,0.296382389
MK-0752,1.09E-02,3.28E-02,3.64E-03,5.61E-02,5.14E-02,NA,NA,0.112936625,NA,NA,NA,7.37E-03,2.98E-02,0,2.01E-02,0,0,2.50E-03,0,1.02E-02,9.06E-03,0.112708429,3.27E-02,8.96E-03,8.41E-03,1.96E-02,0,5.72E-02,3.23E-02,3.06E-03,2.63E-03,2.08E-02,5.88E-02,9.22E-02,1.13E-02,1.07E-02,0.131793518,0,0.113931568,5.47E-02,9.59E-03,5.18E-02,6.27E-02,2.83E-02,0.155046248,6.65E-02,0.151499811,4.95E-02
MK 1775,0.314157896,0.323984486,0.307670005,0.389348894,0.43990563,NA,NA,0.256662835,NA,NA,0.44185673,0.439663607,0.383822146,0.354488753,0.362231614,0.412654372,0.534177568,0.465425037,0.424115155,0.378720178,0.372510958,0.370655427,0.310220576,0.449550189,0.375685402,0.376028128,0.179137177,0.322421184,0.250561072,0.215337665,0.299498426,0.19222911,0.228505,0.352241919,0.229352821,0.132264,0.338186273,0.177265748,0.290995943,0.292651412,0.111105004,0.14477902,0.308373877,0.135953433,0.312481367,0.242463159,0.542896792,0.362797017
ML006,1.35E-02,4.00E-02,9.42E-03,8.86E-02,2.62E-02,NA,NA,0.154825568,NA,9.30E-02,NA,8.97E-02,5.89E-02,NA,4.07E-02,4.92E-02,3.02E-03,0.10182813,4.73E-02,1.66E-02,0.169427915,4.61E-02,6.74E-02,0.114539989,5.99E-02,7.10E-02,1.06E-02,0.125435221,1.36E-02,2.55E-02,9.09E-03,4.40E-02,1.30E-02,0.208579167,2.52E-02,3.20E-02,3.91E-02,9.24E-03,8.94E-02,0.115140907,3.82E-02,6.05E-02,9.49E-02,0.103952505,0.183897383,7.00E-03,0.104505872,6.02E-02
ML031,7.41E-02,4.26E-03,9.04E-02,0.11386701,0.132379944,NA,NA,NA,NA,0.100970511,NA,NA,NA,0.137189832,NA,3.99E-02,0.111353074,0.111635418,8.36E-02,3.83E-02,6.86E-02,NA,NA,NA,3.67E-02,NA,6.92E-02,0.150117482,NA,0.122873964,9.95E-02,8.81E-02,6.99E-03,8.20E-02,4.43E-02,NA,6.29E-02,1.33E-02,6.57E-02,0.213876087,0.119929186,0.110192887,6.42E-02,0.109116995,6.70E-02,9.69E-02,0.209814005,3.13E-02
ML050,2.68E-02,0,1.92E-02,6.46E-02,2.87E-02,NA,NA,2.05E-02,NA,4.26E-02,NA,6.33E-02,1.35E-02,4.36E-02,2.19E-02,3.89E-02,3.43E-02,3.88E-02,1.23E-02,6.58E-02,8.29E-02,0.138030991,2.77E-02,2.18E-02,2.90E-02,2.47E-02,7.63E-02,4.82E-02,0.107378803,2.26E-02,3.86E-03,9.39E-03,7.04E-02,2.66E-02,3.03E-02,2.01E-02,0.210890246,5.00E-02,4.28E-02,2.87E-02,4.68E-02,3.84E-02,2.73E-02,3.75E-02,9.15E-03,3.50E-02,6.76E-02,4.66E-02
ML083,1.44E-03,3.61E-03,1.97E-02,2.22E-02,2.83E-02,NA,NA,9.17E-02,NA,0,NA,4.36E-02,5.04E-02,0,1.16E-02,0,0,5.39E-02,4.61E-02,7.60E-03,1.23E-02,9.62E-03,5.39E-02,2.50E-02,5.98E-02,1.99E-02,1.74E-02,3.07E-02,2.13E-02,9.13E-02,1.17E-02,4.44E-02,0,7.11E-02,2.32E-02,2.73E-02,7.78E-02,7.74E-03,1.60E-02,9.86E-02,2.46E-02,7.55E-02,5.20E-02,4.77E-02,9.31E-02,2.61E-03,9.37E-02,4.76E-02
ML162,0.251608852,0.625495324,0.302467111,0.71872517,0.392158735,NA,NA,0.541351332,NA,0.582864901,0.36383239,0.352589658,0.618285153,0.530733357,0.309248982,0.327275012,0.583590982,0.338121417,0.305194151,0.575693725,0.313299186,0.393541994,0.590175296,0.595901962,0.567407985,0.381216362,0.486461964,0.385716447,0.374342583,0.142393928,0.255115383,0.212188189,0.205768,0.324081779,0.429226339,4.71E-02,0.672153334,0.262358978,0.630241036,0.315406396,0.813750259,0.441710654,0.759540158,0.611151873,0.47066567,0.390830025,0.774014203,0.243030371
ML203,2.56E-02,5.24E-03,0,9.49E-02,0.102430536,NA,NA,6.38E-02,NA,NA,5.36E-02,0,NA,2.31E-02,9.48E-02,1.07E-02,0,0.1210823,0,2.59E-02,8.21E-02,7.07E-02,1.92E-02,0.173785114,4.86E-02,8.52E-02,0,3.27E-04,2.01E-03,4.54E-02,1.12E-02,4.87E-03,4.45E-02,6.13E-03,1.54E-02,2.59E-02,1.34E-03,6.82E-04,7.96E-02,1.89E-02,2.35E-02,9.11E-02,4.50E-02,2.60E-02,6.70E-02,3.32E-02,0,2.06E-02
ML210,0.225223034,0.644558322,0.223833788,0.622522277,0.231984495,NA,NA,0.531543333,NA,0.569473562,0.412688822,0.534008208,NA,0.622844726,0.310947774,0.327051585,0.597037587,NA,0.273872328,NA,0.428476618,0.435096883,0.804002839,0.620983591,0.530255237,0.618574485,0.315715053,0.44012795,0.208715882,4.52E-02,6.90E-02,2.17E-02,2.41E-02,0.362765635,0.297738034,4.93E-03,0.650193991,0.142083406,0.689418216,0.19360471,0.881369271,0.353062389,0.728292763,0.503327843,0.123993441,0.278969349,0.726427646,NA
